[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.5°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.99 m/s² | Gyro: 1.5°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.5°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.6°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 10.00 m/s² | Gyro: 2.6°/s
[NORMAL REST] | Net Accel: 9.99 m/s² | Gyro: 1.2°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 2.5°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 2.0°/s
[ACTIVE MOVEMENT] | Net Accel: 10.52 m/s² | Gyro: 15.2°/s
[NORMAL REST] | Net Accel: 9.96 m/s² | Gyro: 3.5°/s
[NORMAL REST] | Net Accel: 9.58 m/s² | Gyro: 11.4°/s
[ACTIVE MOVEMENT] | Net Accel: 11.24 m/s² | Gyro: 304.5°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 22.75 m/s² | Gyro: 1457.4°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 9.70 m/s² | Gyro: 252.6°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 7.22 m/s² | Gyro: 218.8°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 8.59 m/s² | Gyro: 224.1°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 9.17 m/s² | Gyro: 1295.4°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 11.74 m/s² | Gyro: 581.5°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 19.68 m/s² | Gyro: 730.7°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 7.40 m/s² | Gyro: 256.3°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 14.14 m/s² | Gyro: 711.6°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 8.89 m/s² | Gyro: 302.9°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 16.25 m/s² | Gyro: 461.1°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 10.36 m/s² | Gyro: 424.5°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 16.08 m/s² | Gyro: 847.0°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 5.03 m/s² | Gyro: 691.9°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 7.56 m/s² | Gyro: 550.5°/s
[NORMAL REST] | Net Accel: 13.99 m/s² | Gyro: 952.3°/s
[ACTIVE MOVEMENT] | Net Accel: 5.44 m/s² | Gyro: 551.3°/s
[ACTIVE MOVEMENT] | Net Accel: 8.76 m/s² | Gyro: 207.4°/s
[ACTIVE MOVEMENT] | Net Accel: 9.43 m/s² | Gyro: 20.6°/s
[NORMAL REST] | Net Accel: 9.92 m/s² | Gyro: 1.5°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.9°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.9°/s
[NORMAL REST] | Net Accel: 9.96 m/s² | Gyro: 1.6°/s
[NORMAL REST] | Net Accel: 9.96 m/s² | Gyro: 1.8°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.7°/s
[NORMAL REST] | Net Accel: 9.96 m/s² | Gyro: 1.6°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.6°/s
[NORMAL REST] | Net Accel: 9.95 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.99 m/s² | Gyro: 1.5°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.5°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.5°/s
[NORMAL REST] | Net Accel: 9.99 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.3°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.3°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.99 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.5°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.5°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.99 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.96 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
